primary_label,num_recordings,normalized_audio_strength
asbfly,105,0.21
ashdro1,109,0.218
ashpri1,96,0.192
ashwoo2,45,0.09
asikoe2,275,0.55
asiope1,5,0.01
aspfly1,26,0.052
aspswi1,26,0.052
barfly1,20,0.04
barswa,500,1.0
bcnher,500,1.0
bkcbul1,24,0.048
bkrfla1,29,0.058
bkskit1,268,0.536
bkwsti,500,1.0
bladro1,125,0.25
blaeag1,6,0.012
blakit1,231,0.462
blhori1,141,0.282
blnmon1,173,0.346
blrwar1,500,1.0
bncwoo3,7,0.014
brakit1,44,0.088
brasta1,13,0.026
brcful1,86,0.172
brfowl1,17,0.034
brnhao1,122,0.244
brnshr,150,0.3
brodro1,114,0.228
brwjac1,20,0.04
brwowl1,79,0.158
btbeat1,57,0.114
bwfshr1,31,0.062
categr,210,0.42
chbeat1,22,0.044
cohcuc1,76,0.152
comfla1,32,0.064
comgre,500,1.0
comior1,219,0.438
comkin1,500,1.0
commoo3,500,1.0
commyn,237,0.474
compea,70,0.14
comros,500,1.0
comsan,500,1.0
comtai1,302,0.604
copbar1,124,0.248
crbsun2,24,0.048
cregos1,40,0.08
crfbar1,13,0.026
crseag1,153,0.306
dafbab1,22,0.044
darter2,7,0.014
eaywag1,500,1.0
emedov2,53,0.106
eucdov,500,1.0
eurbla2,24,0.048
eurcoo,500,1.0
forwag1,44,0.088
gargan,163,0.326
gloibi,107,0.214
goflea1,46,0.092
graher1,500,1.0
grbeat1,67,0.134
grecou1,163,0.326
greegr,276,0.552
grefla1,58,0.116
grehor1,37,0.074
grejun2,51,0.102
grenig1,41,0.082
grewar3,500,1.0
grnsan,500,1.0
grnwar1,142,0.284
grtdro1,278,0.556
gryfra,56,0.112
grynig2,20,0.04
grywag,500,1.0
gybpri1,115,0.23
gyhcaf1,217,0.434
heswoo1,22,0.044
hoopoe,500,1.0
houcro1,139,0.278
houspa,500,1.0
inbrob1,59,0.118
indpit1,61,0.122
indrob1,44,0.088
indrol2,35,0.07
indtit1,12,0.024
ingori1,40,0.08
inpher1,13,0.026
insbab1,63,0.126
insowl1,36,0.072
integr,5,0.01
isbduc1,16,0.032
jerbus2,19,0.038
junbab2,79,0.158
junmyn1,15,0.03
junowl1,49,0.098
kenplo1,271,0.542
kerlau2,14,0.028
labcro1,235,0.47
laudov1,113,0.226
lblwar1,90,0.18
lesyel1,22,0.044
lewduc1,33,0.066
lirplo,500,1.0
litegr,405,0.81
litgre1,500,1.0
litspi1,123,0.246
litswi1,77,0.154
lobsun2,20,0.04
maghor2,30,0.06
malpar1,20,0.04
maltro1,17,0.034
malwoo1,10,0.02
marsan,92,0.184
mawthr1,46,0.092
moipig1,27,0.054
nilfly2,8,0.016
niwpig1,5,0.01
nutman,115,0.23
orihob2,41,0.082
oripip1,71,0.142
pabflo1,47,0.094
paisto1,7,0.014
piebus1,89,0.178
piekin1,137,0.274
placuc3,38,0.076
plaflo1,20,0.04
plapri1,155,0.31
plhpar1,28,0.056
pomgrp2,9,0.018
purher1,274,0.548
pursun3,56,0.112
pursun4,125,0.25
purswa3,39,0.078
putbab1,224,0.448
redspu1,16,0.032
rerswa1,198,0.396
revbul,101,0.202
rewbul,189,0.378
rewlap1,135,0.27
rocpig,201,0.402
rorpar,420,0.84
rossta2,60,0.12
rufbab3,17,0.034
ruftre2,127,0.254
rufwoo2,49,0.098
rutfly6,8,0.016
sbeowl1,25,0.05
scamin3,12,0.024
shikra1,96,0.192
smamin1,20,0.04
sohmyn1,42,0.084
spepic1,45,0.09
spodov,155,0.31
spoowl1,35,0.07
sqtbul1,24,0.048
stbkin1,122,0.244
sttwoo1,20,0.04
thbwar1,102,0.204
tibfly3,104,0.208
tilwar1,21,0.042
vefnut1,41,0.082
vehpar1,36,0.072
wbbfly1,7,0.014
wemhar1,273,0.546
whbbul2,52,0.104
whbsho3,22,0.044
whbtre1,21,0.042
whbwag1,34,0.068
whbwat1,167,0.334
whbwoo2,75,0.15
whcbar1,56,0.112
whiter2,226,0.452
whrmun,63,0.126
whtkin2,185,0.37
woosan,500,1.0
wynlau1,6,0.012
yebbab1,28,0.056
yebbul3,30,0.06
zitcis1,500,1.0
