year,species_richness,occurrences,species_per_1000_occ,species_per_1000_occ_smooth
1990.0,175,573,305.4101221640489,305.4101221640489
1991.0,21,39,538.4615384615385,421.93583031279366
1992.0,361,1123,321.46037399821904,388.4440115412688
1993.0,363,1498,242.32309746328437,367.4150033076806
1994.0,137,423,323.87706855791964,295.88684667314106
1997.0,26,57,456.14035087719293,340.7801722994657
1998.0,56,63,888.8888888888888,556.3021027746671
1999.0,66,85,776.4705882352941,707.166609333792
2000.0,68,81,839.5061728395061,834.9552166545631
2001.0,20,28,714.2857142857143,776.7541584535048
2004.0,69,102,676.4705882352941,743.4208251201716
2005.0,29,95,305.2631578947368,565.3398201385818
2006.0,157,339,463.12684365781706,481.6201965959494
2007.0,225,660,340.9090909090909,369.76636415388157
2011.0,42,43,976.7441860465116,593.5933735378065
2013.0,56,63,888.8888888888888,735.514055281497
