year,species_richness,occurrences,species_per_1000_occ,species_per_1000_occ_smooth
1990,34,49,693.8775510204082,693.8775510204082
1994,29,43,674.4186046511628,684.1480778357854
1997,29,39,743.5897435897436,703.9619664204382
2005,44,87,505.7471264367817,641.2518248925627
2007,51,81,629.6296296296297,626.3221665520517
2008,27,33,818.1818181818182,651.1861914160766
2009,22,30,733.3333333333333,727.0482603815936
2010,21,33,636.3636363636364,729.2929292929293
2011,16,20,800.0,723.2323232323232
2015,56,73,767.1232876712328,734.4956413449563
2017,380,982,386.9653767820774,651.3628881511033
2018,58,119,487.3949579831933,547.1612074788345
2019,81,179,452.5139664804469,452.5139664804469
2020,104,239,435.1464435146444,435.1464435146444
2021,128,299,428.09364548494983,428.09364548494983
2022,151,359,420.61281337047353,420.61281337047353
2023,175,419,417.66109785202866,417.66109785202866
2024,198,480,412.5,412.5
